n,p,m
"{""synonym"":[EO_Disease_Has_Property_Or_Attribute],""name"":eo_disease_has_property_or_attribute,""definition"":['A role used to specify the clinical behavior, or other characteristic, of a disease in an experimental organism. The domain and range for this role are 'Experimental Organism Diagnosis' and 'Property or Attribute', respectively.'],""label"":EO_Disease_Has_Property_Or_Attribute,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43776,""ontology"":NCIT}","{""label"":Role_Has_Range,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#A2}","{""synonym"":[Property or Attribute],""name"":property or attribute,""definition"":['A distinguishing quality or prominent aspect of a person, object, action, process, or substance.'],""label"":Property or Attribute,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20189,""ontology"":NCIT}"
"{""synonym"":[EO_Disease_Has_Property_Or_Attribute],""name"":eo_disease_has_property_or_attribute,""definition"":['A role used to specify the clinical behavior, or other characteristic, of a disease in an experimental organism. The domain and range for this role are 'Experimental Organism Diagnosis' and 'Property or Attribute', respectively.'],""label"":EO_Disease_Has_Property_Or_Attribute,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43776,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[EO_Disease_Has_Property_Or_Attribute],""name"":eo_disease_has_property_or_attribute,""definition"":['A role used to specify the clinical behavior, or other characteristic, of a disease in an experimental organism. The domain and range for this role are 'Experimental Organism Diagnosis' and 'Property or Attribute', respectively.'],""label"":EO_Disease_Has_Property_Or_Attribute,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43776,""ontology"":NCIT}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Role, NCI Thesaurus Role],""name"":nci thesaurus role,""definition"":['A specific non-hierarchical, named relationship between concepts present in the NCI Thesaurus.'],""label"":NCI Thesaurus Role,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43643,""ontology"":NCIT}"
"{""label"":Disease_Is_Grade,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#R110}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#ObjectProperty}"
"{""label"":Disease_Is_Grade,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#R110}","{""uri"":http://www.w3.org/2000/01/rdf-schema#range}","{""synonym"":[Property or Attribute],""name"":property or attribute,""definition"":['A distinguishing quality or prominent aspect of a person, object, action, process, or substance.'],""label"":Property or Attribute,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20189,""ontology"":NCIT}"
"{""synonym"":[General Modifier, General Qualifiers, General Qualifier],""name"":general qualifier,""definition"":['A term that helps define and render another concept unique.'],""label"":General Qualifier,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27993,""ontology"":NCIT}","{""label"":Has_NICHD_Parent,""type"":http://www.w3.org/2002/07/owl#ObjectProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#A11}","{""synonym"":[Property or Attribute],""name"":property or attribute,""definition"":['A distinguishing quality or prominent aspect of a person, object, action, process, or substance.'],""label"":Property or Attribute,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20189,""ontology"":NCIT}"
"{""synonym"":[General Modifier, General Qualifiers, General Qualifier],""name"":general qualifier,""definition"":['A term that helps define and render another concept unique.'],""label"":General Qualifier,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27993,""ontology"":NCIT}","{""label"":Has_NICHD_Parent,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#A11}","{""synonym"":[Property or Attribute],""name"":property or attribute,""definition"":['A distinguishing quality or prominent aspect of a person, object, action, process, or substance.'],""label"":Property or Attribute,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20189,""ontology"":NCIT}"
"{""synonym"":[General Modifier, General Qualifiers, General Qualifier],""name"":general qualifier,""definition"":['A term that helps define and render another concept unique.'],""label"":General Qualifier,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27993,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[General Modifier, General Qualifiers, General Qualifier],""name"":general qualifier,""definition"":['A term that helps define and render another concept unique.'],""label"":General Qualifier,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27993,""ontology"":NCIT}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Modifier, Qualifier],""name"":qualifier,""definition"":['A term that helps define and render a concept unique.'],""label"":Qualifier,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41009,""ontology"":NCIT}"
"{""synonym"":[personally identifiable information (PII), Personally Identifiable Information, Personal Information, PII],""name"":personal information,""definition"":['Data, facts or figures about an individual; the set of relevant items would depend on the use case.'],""label"":Personal Information,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C90492,""ontology"":NCIT}","{""label"":Has_NICHD_Parent,""type"":http://www.w3.org/2002/07/owl#ObjectProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#A11}","{""synonym"":[Property or Attribute],""name"":property or attribute,""definition"":['A distinguishing quality or prominent aspect of a person, object, action, process, or substance.'],""label"":Property or Attribute,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20189,""ontology"":NCIT}"
"{""synonym"":[personally identifiable information (PII), Personally Identifiable Information, Personal Information, PII],""name"":personal information,""definition"":['Data, facts or figures about an individual; the set of relevant items would depend on the use case.'],""label"":Personal Information,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C90492,""ontology"":NCIT}","{""label"":Has_NICHD_Parent,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#A11}","{""synonym"":[Property or Attribute],""name"":property or attribute,""definition"":['A distinguishing quality or prominent aspect of a person, object, action, process, or substance.'],""label"":Property or Attribute,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20189,""ontology"":NCIT}"
"{""synonym"":[personally identifiable information (PII), Personally Identifiable Information, Personal Information, PII],""name"":personal information,""definition"":['Data, facts or figures about an individual; the set of relevant items would depend on the use case.'],""label"":Personal Information,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C90492,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[personally identifiable information (PII), Personally Identifiable Information, Personal Information, PII],""name"":personal information,""definition"":['Data, facts or figures about an individual; the set of relevant items would depend on the use case.'],""label"":Personal Information,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C90492,""ontology"":NCIT}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Info, Information],""name"":information,""definition"":['Knowledge derived from study, experience, or instruction that has been gathered or received by communication.'],""label"":Information,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48191,""ontology"":NCIT}"
"{""synonym"":[Info, Information],""name"":information,""definition"":['Knowledge derived from study, experience, or instruction that has been gathered or received by communication.'],""label"":Information,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48191,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Info, Information],""name"":information,""definition"":['Knowledge derived from study, experience, or instruction that has been gathered or received by communication.'],""label"":Information,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48191,""ontology"":NCIT}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Conceptual Entity],""name"":conceptual entity,""definition"":['An organizational header for concepts representing mostly abstract entities.'],""label"":Conceptual Entity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20181,""ontology"":NCIT}"
"{""synonym"":[Disease_Is_Grade],""name"":disease_is_grade,""definition"":['A role used to relate a disease to a grading system which classifies the cancer cells in terms of how abnormal they appear when examined under a microscope. The domain and the range for this role are 'Disease, Disorder or Finding' and 'Property or_Attribute', respectively.'],""label"":Disease_Is_Grade,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43762,""ontology"":NCIT}","{""label"":Role_Has_Range,""type"":http://www.w3.org/2002/07/owl#ObjectProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#A2}","{""synonym"":[Property or Attribute],""name"":property or attribute,""definition"":['A distinguishing quality or prominent aspect of a person, object, action, process, or substance.'],""label"":Property or Attribute,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20189,""ontology"":NCIT}"
"{""synonym"":[Disease_Is_Grade],""name"":disease_is_grade,""definition"":['A role used to relate a disease to a grading system which classifies the cancer cells in terms of how abnormal they appear when examined under a microscope. The domain and the range for this role are 'Disease, Disorder or Finding' and 'Property or_Attribute', respectively.'],""label"":Disease_Is_Grade,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43762,""ontology"":NCIT}","{""label"":Role_Has_Range,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#A2}","{""synonym"":[Property or Attribute],""name"":property or attribute,""definition"":['A distinguishing quality or prominent aspect of a person, object, action, process, or substance.'],""label"":Property or Attribute,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20189,""ontology"":NCIT}"
"{""synonym"":[Disease_Is_Grade],""name"":disease_is_grade,""definition"":['A role used to relate a disease to a grading system which classifies the cancer cells in terms of how abnormal they appear when examined under a microscope. The domain and the range for this role are 'Disease, Disorder or Finding' and 'Property or_Attribute', respectively.'],""label"":Disease_Is_Grade,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43762,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Disease_Is_Grade],""name"":disease_is_grade,""definition"":['A role used to relate a disease to a grading system which classifies the cancer cells in terms of how abnormal they appear when examined under a microscope. The domain and the range for this role are 'Disease, Disorder or Finding' and 'Property or_Attribute', respectively.'],""label"":Disease_Is_Grade,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43762,""ontology"":NCIT}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Role, NCI Thesaurus Role],""name"":nci thesaurus role,""definition"":['A specific non-hierarchical, named relationship between concepts present in the NCI Thesaurus.'],""label"":NCI Thesaurus Role,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43643,""ontology"":NCIT}"
"{""synonym"":[risk_factor, Risk Factor, risk factor],""name"":risk factor,""definition"":['Any aspect of an individual's life, behavior, an environmental exposure, or an inborn or inherited characteristic that increases the likelihood of a disease, condition or injury.'],""label"":Risk Factor,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17103,""ontology"":NCIT}","{""label"":Has_NICHD_Parent,""type"":http://www.w3.org/2002/07/owl#ObjectProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#A11}","{""synonym"":[Property or Attribute],""name"":property or attribute,""definition"":['A distinguishing quality or prominent aspect of a person, object, action, process, or substance.'],""label"":Property or Attribute,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20189,""ontology"":NCIT}"
"{""synonym"":[risk_factor, Risk Factor, risk factor],""name"":risk factor,""definition"":['Any aspect of an individual's life, behavior, an environmental exposure, or an inborn or inherited characteristic that increases the likelihood of a disease, condition or injury.'],""label"":Risk Factor,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17103,""ontology"":NCIT}","{""label"":Has_NICHD_Parent,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#A11}","{""synonym"":[Property or Attribute],""name"":property or attribute,""definition"":['A distinguishing quality or prominent aspect of a person, object, action, process, or substance.'],""label"":Property or Attribute,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20189,""ontology"":NCIT}"
"{""synonym"":[risk_factor, Risk Factor, risk factor],""name"":risk factor,""definition"":['Any aspect of an individual's life, behavior, an environmental exposure, or an inborn or inherited characteristic that increases the likelihood of a disease, condition or injury.'],""label"":Risk Factor,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17103,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[risk_factor, Risk Factor, risk factor],""name"":risk factor,""definition"":['Any aspect of an individual's life, behavior, an environmental exposure, or an inborn or inherited characteristic that increases the likelihood of a disease, condition or injury.'],""label"":Risk Factor,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17103,""ontology"":NCIT}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Diagnostic or Prognostic Factor],""name"":diagnostic or prognostic factor,""definition"":['A characteristic of an organism that contributes to the diagnosis or treatment of a disease or to the prediction of clinical outcomes.'],""label"":Diagnostic or Prognostic Factor,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20047,""ontology"":NCIT}"
"{""label"":EO_Disease_Has_Property_Or_Attribute,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#R26}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#ObjectProperty}"
"{""label"":EO_Disease_Has_Property_Or_Attribute,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#R26}","{""uri"":http://www.w3.org/2000/01/rdf-schema#range}","{""synonym"":[Property or Attribute],""name"":property or attribute,""definition"":['A distinguishing quality or prominent aspect of a person, object, action, process, or substance.'],""label"":Property or Attribute,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20189,""ontology"":NCIT}"
"{""synonym"":[Disease_Is_Stage],""name"":disease_is_stage,""definition"":['A role used to specify the disease stage of a disease, the extent to which a cancer has spread from the original site to other parts of the body. The domain and the range for this role are 'Disease, Disorder or Finding' and 'Property or_Attribute', respectively.'],""label"":Disease_Is_Stage,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43763,""ontology"":NCIT}","{""label"":Role_Has_Range,""type"":http://www.w3.org/2002/07/owl#ObjectProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#A2}","{""synonym"":[Property or Attribute],""name"":property or attribute,""definition"":['A distinguishing quality or prominent aspect of a person, object, action, process, or substance.'],""label"":Property or Attribute,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20189,""ontology"":NCIT}"
"{""synonym"":[Disease_Is_Stage],""name"":disease_is_stage,""definition"":['A role used to specify the disease stage of a disease, the extent to which a cancer has spread from the original site to other parts of the body. The domain and the range for this role are 'Disease, Disorder or Finding' and 'Property or_Attribute', respectively.'],""label"":Disease_Is_Stage,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43763,""ontology"":NCIT}","{""label"":Role_Has_Range,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#A2}","{""synonym"":[Property or Attribute],""name"":property or attribute,""definition"":['A distinguishing quality or prominent aspect of a person, object, action, process, or substance.'],""label"":Property or Attribute,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20189,""ontology"":NCIT}"
"{""synonym"":[Disease_Is_Stage],""name"":disease_is_stage,""definition"":['A role used to specify the disease stage of a disease, the extent to which a cancer has spread from the original site to other parts of the body. The domain and the range for this role are 'Disease, Disorder or Finding' and 'Property or_Attribute', respectively.'],""label"":Disease_Is_Stage,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43763,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Disease_Is_Stage],""name"":disease_is_stage,""definition"":['A role used to specify the disease stage of a disease, the extent to which a cancer has spread from the original site to other parts of the body. The domain and the range for this role are 'Disease, Disorder or Finding' and 'Property or_Attribute', respectively.'],""label"":Disease_Is_Stage,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43763,""ontology"":NCIT}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Role, NCI Thesaurus Role],""name"":nci thesaurus role,""definition"":['A specific non-hierarchical, named relationship between concepts present in the NCI Thesaurus.'],""label"":NCI Thesaurus Role,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43643,""ontology"":NCIT}"
"{""synonym"":[Allele_Has_Activity],""name"":allele_has_activity,""definition"":['A role used to assert the observed level of activity associated with an allele in a given biological process, compared to the wild-type gene. The domain and range for this role are 'Gene' and 'Property or Attribute', respectively.'],""label"":Allele_Has_Activity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45461,""ontology"":NCIT}","{""label"":Role_Has_Range,""type"":http://www.w3.org/2002/07/owl#ObjectProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#A2}","{""synonym"":[Property or Attribute],""name"":property or attribute,""definition"":['A distinguishing quality or prominent aspect of a person, object, action, process, or substance.'],""label"":Property or Attribute,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20189,""ontology"":NCIT}"
"{""synonym"":[Allele_Has_Activity],""name"":allele_has_activity,""definition"":['A role used to assert the observed level of activity associated with an allele in a given biological process, compared to the wild-type gene. The domain and range for this role are 'Gene' and 'Property or Attribute', respectively.'],""label"":Allele_Has_Activity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45461,""ontology"":NCIT}","{""label"":Role_Has_Range,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#A2}","{""synonym"":[Property or Attribute],""name"":property or attribute,""definition"":['A distinguishing quality or prominent aspect of a person, object, action, process, or substance.'],""label"":Property or Attribute,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20189,""ontology"":NCIT}"
"{""synonym"":[Allele_Has_Activity],""name"":allele_has_activity,""definition"":['A role used to assert the observed level of activity associated with an allele in a given biological process, compared to the wild-type gene. The domain and range for this role are 'Gene' and 'Property or Attribute', respectively.'],""label"":Allele_Has_Activity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45461,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Allele_Has_Activity],""name"":allele_has_activity,""definition"":['A role used to assert the observed level of activity associated with an allele in a given biological process, compared to the wild-type gene. The domain and range for this role are 'Gene' and 'Property or Attribute', respectively.'],""label"":Allele_Has_Activity,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45461,""ontology"":NCIT}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Role, NCI Thesaurus Role],""name"":nci thesaurus role,""definition"":['A specific non-hierarchical, named relationship between concepts present in the NCI Thesaurus.'],""label"":NCI Thesaurus Role,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43643,""ontology"":NCIT}"
"{""synonym"":[Allele_In_Chromosomal_Location],""name"":allele_in_chromosomal_location,""definition"":['A role used for an allele whose location has changed from the wild-type gene chromosomal location. This role is used to assert a new location that differs from the wild-type gene chromosomal location. The domain and range for this role are 'Gene' and 'Anatomic Structure, System, or Substance', respectively.'],""label"":Allele_In_Chromosomal_Location,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45457,""ontology"":NCIT}","{""label"":Role_Has_Range,""type"":http://www.w3.org/2002/07/owl#ObjectProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#A2}","{""synonym"":[Anatomic Structure, System, or Substance, Anatomic Structures and Systems],""name"":anatomic structure, system, or substance,""definition"":['A human biological structure, fluid or other substance; excludes single molecular entities.'],""label"":Anatomic Structure, System, or Substance,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12219,""ontology"":NCIT}"
"{""synonym"":[Allele_In_Chromosomal_Location],""name"":allele_in_chromosomal_location,""definition"":['A role used for an allele whose location has changed from the wild-type gene chromosomal location. This role is used to assert a new location that differs from the wild-type gene chromosomal location. The domain and range for this role are 'Gene' and 'Anatomic Structure, System, or Substance', respectively.'],""label"":Allele_In_Chromosomal_Location,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45457,""ontology"":NCIT}","{""label"":Role_Has_Range,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#A2}","{""synonym"":[Anatomic Structure, System, or Substance, Anatomic Structures and Systems],""name"":anatomic structure, system, or substance,""definition"":['A human biological structure, fluid or other substance; excludes single molecular entities.'],""label"":Anatomic Structure, System, or Substance,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12219,""ontology"":NCIT}"
"{""synonym"":[Allele_In_Chromosomal_Location],""name"":allele_in_chromosomal_location,""definition"":['A role used for an allele whose location has changed from the wild-type gene chromosomal location. This role is used to assert a new location that differs from the wild-type gene chromosomal location. The domain and range for this role are 'Gene' and 'Anatomic Structure, System, or Substance', respectively.'],""label"":Allele_In_Chromosomal_Location,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45457,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Allele_In_Chromosomal_Location],""name"":allele_in_chromosomal_location,""definition"":['A role used for an allele whose location has changed from the wild-type gene chromosomal location. This role is used to assert a new location that differs from the wild-type gene chromosomal location. The domain and range for this role are 'Gene' and 'Anatomic Structure, System, or Substance', respectively.'],""label"":Allele_In_Chromosomal_Location,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45457,""ontology"":NCIT}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Role, NCI Thesaurus Role],""name"":nci thesaurus role,""definition"":['A specific non-hierarchical, named relationship between concepts present in the NCI Thesaurus.'],""label"":NCI Thesaurus Role,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43643,""ontology"":NCIT}"
"{""synonym"":[Embryologic Structure or System, Embryonic Structure or System],""name"":embryonic structure or system,""definition"":['Body tissue, region, surface, cavity, fluid, organ, or collection of organs present in, or associated with, an embryo.'],""label"":Embryonic Structure or System,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34144,""ontology"":NCIT}","{""label"":Has_NICHD_Parent,""type"":http://www.w3.org/2002/07/owl#ObjectProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#A11}","{""synonym"":[Anatomic Structure, System, or Substance, Anatomic Structures and Systems],""name"":anatomic structure, system, or substance,""definition"":['A human biological structure, fluid or other substance; excludes single molecular entities.'],""label"":Anatomic Structure, System, or Substance,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12219,""ontology"":NCIT}"
"{""synonym"":[Embryologic Structure or System, Embryonic Structure or System],""name"":embryonic structure or system,""definition"":['Body tissue, region, surface, cavity, fluid, organ, or collection of organs present in, or associated with, an embryo.'],""label"":Embryonic Structure or System,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34144,""ontology"":NCIT}","{""label"":Has_NICHD_Parent,""type"":http://www.w3.org/2002/07/owl#AnnotationProperty,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#A11}","{""synonym"":[Anatomic Structure, System, or Substance, Anatomic Structures and Systems],""name"":anatomic structure, system, or substance,""definition"":['A human biological structure, fluid or other substance; excludes single molecular entities.'],""label"":Anatomic Structure, System, or Substance,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12219,""ontology"":NCIT}"
"{""synonym"":[Embryologic Structure or System, Embryonic Structure or System],""name"":embryonic structure or system,""definition"":['Body tissue, region, surface, cavity, fluid, organ, or collection of organs present in, or associated with, an embryo.'],""label"":Embryonic Structure or System,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34144,""ontology"":NCIT}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#Class}"
"{""synonym"":[Embryologic Structure or System, Embryonic Structure or System],""name"":embryonic structure or system,""definition"":['Body tissue, region, surface, cavity, fluid, organ, or collection of organs present in, or associated with, an embryo.'],""label"":Embryonic Structure or System,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34144,""ontology"":NCIT}","{""uri"":http://www.w3.org/2000/01/rdf-schema#subClassOf}","{""synonym"":[Anatomic Structure, System, or Substance, Anatomic Structures and Systems],""name"":anatomic structure, system, or substance,""definition"":['A human biological structure, fluid or other substance; excludes single molecular entities.'],""label"":Anatomic Structure, System, or Substance,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12219,""ontology"":NCIT}"
"{""label"":Disease_Has_Associated_Anatomic_Site,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#R100}","{""uri"":http://www.w3.org/1999/02/22-rdf-syntax-ns#type}","{""uri"":http://www.w3.org/2002/07/owl#ObjectProperty}"
"{""label"":Disease_Has_Associated_Anatomic_Site,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#R100}","{""uri"":http://www.w3.org/2000/01/rdf-schema#range}","{""synonym"":[Anatomic Structure, System, or Substance, Anatomic Structures and Systems],""name"":anatomic structure, system, or substance,""definition"":['A human biological structure, fluid or other substance; excludes single molecular entities.'],""label"":Anatomic Structure, System, or Substance,""uri"":http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C12219,""ontology"":NCIT}"
